fileName,meta_tags,meta_keywords,max_keyword_length,min_keyword_length,descriptor_words,words_alt_images,avgNoOfWordsInLink,total_links,image_links,total_images,alt_images,div,paragraphs,tables,total_headings,link_headings,class
prepare_birthday_card_32.html,21,0,0,0,1,0,7.382352941176468,34,0,0,0,70,6,0,11,5,
prepare_birthday_card_33.html,10,0,0,0,1,44,51.921824104234595,307,17,18,18,463,16,0,17,0,
prepare_birthday_card_34.html,31,0,0,0,1,145,4.119083969465656,655,31,34,34,269,65,0,43,0,
prepare_birthday_card_35.html,4,0,0,0,1,305,200.20218579234947,366,59,59,59,677,63,0,25,0,
prepare_birthday_card_36.html,27,0,0,0,1,352,26.158620689655212,145,1,61,60,95,17,0,13,0,
prepare_birthday_card_37.html,19,0,0,0,1,29,12.55263157894737,38,2,29,28,248,19,0,23,6,
prepare_birthday_card_38.html,17,0,0,0,1,11,1.647058823529411,51,0,4,4,78,8,0,6,0,
prepare_birthday_card_39.html,13,0,0,0,1,19,2.3793103448275854,29,3,10,10,55,15,0,9,0,
prepare_birthday_card_4.html,17,0,0,0,1,77,3.069387755102057,245,10,11,10,78,15,0,24,0,
prepare_birthday_card_40.html,23,0,0,0,1,122,6.588888888888886,90,50,50,34,76,49,0,20,0,
prepare_birthday_card_41.html,36,1,1,0,1,76,2.7528735632183894,174,18,24,23,374,58,0,34,18,
prepare_birthday_card_42.html,34,0,0,0,1,186,2.726666666666669,150,6,22,22,301,108,0,36,0,
prepare_birthday_card_43.html,46,0,0,0,1,446,3.0425531914893553,141,18,33,33,89,108,0,33,0,
prepare_birthday_card_44.html,19,0,0,0,1,162,3.387596899224811,258,12,67,62,160,195,0,16,0,
prepare_birthday_card_45.html,27,0,0,0,1,49,64.77073170731701,205,15,20,20,66,14,0,27,0,
prepare_birthday_card_46.html,6,0,0,0,1,141,3.389830508474573,59,41,42,42,119,22,0,5,0,
prepare_birthday_card_47.html,14,1,1,0,1,458,2.0377574370709786,1748,106,107,107,526,161,0,136,0,
prepare_birthday_card_48.html,24,0,0,0,1,32,2.157894736842104,76,10,13,12,70,58,0,24,0,
prepare_birthday_card_49.html,73,1,1,0,1,74,2.3661971830985915,142,20,20,20,299,62,0,30,15,
prepare_birthday_card_5.html,27,0,0,0,1,324,3.0699999999999905,200,53,64,51,608,21,0,20,0,
prepare_birthday_card_50.html,21,1,1,0,1,2,0,0,0,3,2,12,0,0,0,0,
prepare_birthday_card_51.html,74,1,1,0,1,54,2.503597122302156,139,19,19,19,239,17,0,22,15,
prepare_birthday_card_52.html,26,0,0,0,1,32,2.988888888888889,90,24,25,22,86,39,0,22,5,
prepare_birthday_card_53.html,3,0,0,0,1,76,4.875000000000007,104,9,14,13,51,9,0,13,0,
prepare_birthday_card_54.html,15,0,0,0,0,1,23.399999999999995,40,2,4,1,78,30,0,6,0,
prepare_birthday_card_55.html,31,0,0,0,1,519,3.056818181818195,264,35,65,61,168,111,0,30,0,
prepare_birthday_card_56.html,26,0,0,0,0,210,4.3618421052631655,152,37,41,41,121,79,0,42,0,
prepare_birthday_card_57.html,19,0,0,0,0,36,2.970414201183431,169,18,28,27,206,66,0,29,2,
prepare_birthday_card_58.html,23,0,0,0,1,127,2.2142857142857117,112,33,57,57,177,70,1,15,0,
prepare_birthday_card_59.html,26,0,0,0,1,52,3.0938628158844854,277,10,14,14,89,20,0,12,6,
prepare_birthday_card_6.html,36,0,0,0,1,199,2.3090909090909086,165,36,42,36,74,43,0,49,0,
prepare_birthday_card_64.html,21,0,0,0,1,0,7.53125,32,0,0,0,70,8,0,7,5,
prepare_birthday_card_7.html,98,1,1,0,1,0,1.5833333333333335,12,0,0,0,102,0,0,0,0,
prepare_birthday_card_70.html,19,0,0,0,1,132,2.3525179856115073,139,25,41,40,195,96,0,13,0,
prepare_birthday_card_71.html,21,1,1,0,1,43,2.4086021505376327,93,1,15,15,325,75,0,9,0,
